name        ,type ,op                ,1              ,2              ,3                ,4             ,5                ,6              ,7
RECIP.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,RECIP 6 010101   ,               ,
RINT.fmt    ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,RINT 6 011010    ,               ,
ROTR        ,R    ,SPECIAL 6 000000  ,0 4 0          ,R 1 1          ,rt 5 - 2         ,rd 5 - 1      ,sa 5 - 3         ,SRL 6 000010   ,
ROTRV       ,R    ,SPECIAL 6 000000  ,rs 5 - 3       ,rt 5 - 2       ,rd 5 - 1         ,0 4 0         ,R 1 1            ,SRLV 6 000110  ,
ROUND.L.fmt ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,ROUND.L 6 001000 ,               ,
ROUND.W.fmt ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,ROUND.W 6 001100 ,               ,
RSQRT.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,0 5 0          ,fs 5 - 2         ,fd 5 - 1      ,RSQRT 6 010110   ,               ,
SBE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,SBE 6 011100     ,               ,
SC          ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,SC 6 100110      ,               ,
SCE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,SCE 6 011110     ,               ,
SCWP        ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,rd 5 - 2         ,0 4 0         ,1 1 1            ,SC 6 100110    ,
SCWPE       ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,rd 5 - 2         ,0 4 0         ,1 1 1            ,SCE 6 011110   ,
SDBBP       ,R    ,SPECIAL 6 000000  ,code 20 - 1    ,SDBBP 6 001110 ,                 ,              ,                 ,               ,
SEB         ,R    ,SPECIAL3 6 011111 ,0 5 0          ,rt 5 - 2       ,rd 5 - 1         ,SEB 5 10000   ,BSHFL 6 100000     ,               ,
SEH         ,R    ,SPECIAL3 6 011111 ,0 5 0          ,rt 5 - 2       ,rd 5 - 1         ,SEH 5 11000   ,BSHFL 6 100000     ,               ,
SEL.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,SEL 6 010000     ,               ,
SELEQZ      ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,SELEQZ 6 110101  ,               ,
SELEQZ.fmt  ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,SELEQZ 6 010100  ,               ,
SELNEZ      ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,SELNEZ 6 110111  ,               ,
SELNEZ.fmt  ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,SELNEZ 6 010111  ,               ,
SHE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,SHE 6 011101     ,               ,
SLL         ,R    ,SPECIAL 6 000000  ,0 5 0          ,rt 5 - 2       ,rd 5 - 1         ,sa 5 - 3      ,SLL 6 0          ,               ,
SLLV        ,R    ,SPECIAL 6 000000  ,rs 5 - 3       ,rt 5 - 2       ,rd 5 - 1         ,0 5 0         ,SLLV 6 000100    ,               ,
SLT         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,SLT 6 101010     ,               ,
SLTU        ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 5 0         ,SLTU 6 101011    ,               ,
